id,created_date,updated_date,club_name,club_intro,club_profile_path,club_banner_path,status,member_id,club_info,club_main_category_id,club_region_id
1,23:00.0,23:00.0,NCT 좋아요~,NCT를 좋아하는 모임,club/2024/03/04/81b000721a844a5f924b397662671618.png,,0,3,,2,4
2,23:00.0,23:00.0,여행 모임,내가 다닌 여행을 보여줘요,club/2024/03/02/스크린샷_2024-02-17_092756.png,,0,3,,5,2
3,23:00.0,23:00.0,르세라핌 짱~!,"르세라핌, 아이즈원, 트와이스 짱이에요",,,0,3,,2,8
4,16:27.2,16:27.2,로드 자전거 한,자전거 타면서 운동하실 분,club/2024/03/18/profile_riding.jpg,club/2024/03/18/bicycle_riding.jpg,1,6,"오직 자전거를 좋아하는 성인자전거모임!!

같이 자전거 타고싶어서 직접만듭니다
자전거 정보같은것도 공유도하고 같이 한강 라이딩
즐겁게 취미로 타실분 모집합니다!!

평일,주말 저녁 오후에 일주일에 1~2번 소규모 라이딩 4~5명으로 탈것같습니다.
실력상관없이 즐겁게 같이 타봐요!! 저도 자린이 입니다!
강남구 탄천1교 자전거도로에서 주로 모일것같습니다!
코스는 모여서 정할것같아요!

헬멧 ,전조등 ,후미등 필수입니다!!
매너있고 안전하게 같이 라이딩해요!",3,1
5,41:28.7,41:28.7,인천.부천.서울.경기(94~02년생),인천.부천.서울.경기도(94~02년생)~~ 모임입니다.,club/2024/03/18/c949da45-9b83-4d92-addd-64ddfb640ab6.jpg,club/2024/03/18/조합원모임.jpg,1,6,"저희 모임을 소개합니당~!!
인천.부천.서울.경기도(94~02년생)~~ 모임입니다.
서로를 배려하고 착한 말하도록 노력하고 즐겁게 활발하게 활동 하실 분을 찾고 있어요.

규칙
1. 서로 서로 매너있게
2. 바로 들어오면 반모 하기",7,1
6,28:34.2,28:34.2,김규산모임,김규산님이 만든 여행 모임,club/2024/03/04/81b000721a844a5f924b397662671618.png,club/2024/03/04/cancel.png,0,3,,5,1
7,28:59.2,28:59.2,조관익의 여행여행,아름다운 우리모임 여행 가자~,club/2024/03/04/KakaoTalk_20230617_155432482.jpg,club/2024/03/04/KakaoTalk_20230617_155432482_02.jpg,1,5,,5,1
8,23:04.0,23:04.0,헬스클럽,근성장 가즈아,,,1,2,모임 정보를 작성하는 공간입니다.,3,1
9,30:16.2,30:16.2,300,함께 알려주고 배워가면서 오래 하실분들 모집합니다~,,,1,8,"1. 주제

 : 함께 하는 운동 (볼링, 배드민턴, 클라이밍, 수영, 수상레저+놀이동산 등 문화생활 모두)

 *현재는 볼링을 주종목으로 운영하면서 벙개 등으로 다양한 문화생활도 진행

 

2. 자격

 : 75~00년생 + 약속 잘 지킬 수 있는 적극적인 볼링초보자만 신청 가능(남자일시마감)

 - 볼링에버 2자리 환영/ 에버 150점 이상 강퇴

*현 모임 멤버가 남녀 비율 1:1 성비이며, 연령대도 20~40대로 고루 분포

*볼링 초보 완전 환영하며, 볼링 모르는 분들은 단계별로 하나씩 알려드려요~ 꽁짜로!

 

3. 일시 

 : 메인이벤트: 1,3주 토&2,4주 일 오전9시

*토/일요일 오전시간대 활용/평일 저녁 수시모임 벙

   

4. 장소

 : 2호선 강변역 동서울그랜드볼링장

 *주제/목적에 따라 장소 변경될 수 있음.

 

5. 운영/관리

 : 카카오톡 단톡방 운영+어플 멤버관리

 *카톡 단톡방을 우선으로 운영하며, 커뮤니티는 추후 필요에 따라 운영예정 

 *최대한 효율적으로 운영예정, 절차/형식따위 필요 없음.

 

6. 회비

 : 1만원/3개월

 *회비는 최대한 저렴하게 가성비 및 합리적으로 운영 

 *회비 사용내역은 전체 멤버에게 투명하게 공개함

 

7. 신청방법

: 모임 가입신청 후 쪽지로 주관식 작성

 ex) 홍길동/남/30/엔지니어/120점/볼링, 클라이밍 등

 

 

*최소한의 의무성만 부여하지만, 

 자율적으로/적극적으로 참여하실 분들이 모여야 모임이 운영되는 만큼

 함께 하는/같이 어울려서 재미나게 지낼 분들 환영해요~

 참, 그리고 혹시나 활발하지 않거나 낯가림 있는 분들도 괜찮아요~ 

 제가 모임날 바로 무장해제시켜드리는 윤활유 역할을 톡톡히 하겠습니다!",3,1
10,37:31.5,37:31.5,오페라떼,안녕하세요! 우리 같이 음악 들을래요?,club/2024/03/12/operatte_profile.jpg,club/2024/03/12/operatte_banner.png,1,2,,2,1
